cli,produit,categorie
cli_001,CARTE BANCAIRE,Restaurants
cli_001,COMPTE PRINCIPAL,Retrait
cli_001,VIREMENT,Revenu
cli_001,DEPOTS A VUE EN DINARS,Alimentation
cli_001,CARTE BANCAIRE,Divertissement
cli_001,VIREMENT,Agios et Frais Bancaires
cli_001,CARTE INTERBANCAIRE(CIB),Factures
cli_001,CARTE INTERBANCAIRE(CIB),Factures
cli_001,VIREMENT,Revenu
cli_001,VIREMENT,Revenu
cli_001,CARTE INTERBANCAIRE(CIB),Alimentation
cli_001,CARTE INTERBANCAIRE(CIB),Shopping
cli_001,DEPOTS A VUE EN DINARS,Agios et Frais Bancaires
cli_001,VIREMENT,Revenu
cli_001,DEPOTS A VUE EN DINARS,Restaurants
cli_001,DEPOTS A VUE EN DINARS,Divertissement
cli_001,DEPOTS A VUE EN DINARS,Divertissement
cli_001,CARTE INTERBANCAIRE(CIB),Shopping
cli_001,VIREMENT,Revenu
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Retrait
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,CARTE SALAIRE PLUS,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Retrait
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Retrait
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
f6851bb92c817f9c6365a5b4c3d53b96ac03eeeddf6815caca61cd2bcd2b8d5b,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
fac89d7fed80480dbe75f228e1d4baea418ca36ba5dddf961cf47157f41d07c8,COMPTES SPECIAUX D EPARGNE,Agios et Frais Bancaires
fac89d7fed80480dbe75f228e1d4baea418ca36ba5dddf961cf47157f41d07c8,DEPOTS A VUE EN DINARS,Agios et Frais Bancaires
fac89d7fed80480dbe75f228e1d4baea418ca36ba5dddf961cf47157f41d07c8,DEPOTS A VUE EN DINARS,Agios et Frais Bancaires
fac89d7fed80480dbe75f228e1d4baea418ca36ba5dddf961cf47157f41d07c8,DEPOTS A VUE EN DINARS,Agios et Frais Bancaires
fac89d7fed80480dbe75f228e1d4baea418ca36ba5dddf961cf47157f41d07c8,DEPOTS A VUE EN DINARS,Agios et Frais Bancaires
fac89d7fed80480dbe75f228e1d4baea418ca36ba5dddf961cf47157f41d07c8,DEPOTS A VUE EN DINARS,Agios et Frais Bancaires
